x,y,z
31.221245705441362,-2.247473152761588,0.0
31.500139407904488,-2.298391169877691,0.10440079304608506
31.777206209924838,-2.3483787170246795,0.2064829698834466
32.05247264072552,-2.397444196917992,0.30627664620617157
32.325964935145436,-2.445595890487577,0.40381160189456655
32.597707502396275,-2.4928415278149703,0.49911578666110823
32.86772417121328,-2.5391886542408884,0.5922165589542123
33.13603828922939,-2.5846446590042285,0.6831407840359526
33.402672722975176,-2.6292167752420648,0.7719148339820597
33.66764985787888,-2.672912079989653,0.8585645876819227
33.93099159826642,-2.7157374941804253,0.9431154308385876
34.19271936736134,-2.7576997826459935,1.025592255968758
34.4528541072849,-2.7988055541161487,1.1060194624027955
34.711416279055975,-2.8390612612188604,1.1844209562847183
34.968425862591126,-2.878473200480277,1.2608201505722039
35.22390235670456,-2.917047512324726,1.3352399650365852
35.477864779108174,-2.9547901810747135,1.4077028262628541
35.73033166641149,-2.991707034950925,1.4782306676496595
35.981321074121716,-3.027803746072224,1.5468449294093083
36.230850576643725,-3.063085830455654,1.6135665585677648
36.47893726728003,-3.0975586480164354,1.67841600896465
36.72559775823083,-3.13122740256797,1.7414132412532441
36.97084818059398,-3.164097141821837,1.8025777229004833
37.21470418436498,-3.1961727573877936,1.8619284281869621
37.457181812071724,-3.227459225103532,1.9194848376649594
37.69830124432238,-3.257962639898748,1.9752712487647204
37.93807691152646,-3.2876875103948073,2.02930547112484
38.17652190757612,-3.316637977207631,2.0816038292526877
38.4136491410357,-3.344818129595236,2.1321824758177295
38.649471335141726,-3.372232005457736,2.181057391651527
38.88400102780291,-3.398883591337344,2.2282443857477396
39.11725057160016,-3.4247768224183677,2.273759095262121
39.34923213378656,-3.449915582527214,2.3176169855125233
39.57995769628738,-3.474303704132385,2.359833349978894
39.80943905570008,-3.4979449683444814,2.4004233103032755
40.03768782329432,-3.5208431049162,2.4394018162898092
40.26471542501192,-3.543001792242335,2.47678364590473
40.490533101466916,-3.5644246573597793,2.5125834052763723
